"","x"
"1","@Boo3zero5 @POTUS I’ll back your suggestion!  

The lies and 💩 being spread on all the (supposed) news programs nee… https://t.co/fIliXCwSZO"
"2","@ericswalwell Oh Biff. A ""Few"" Gun hating Folks are NOT going to change Our Constitutional Rights. You need to Read… https://t.co/usLLVIGruX"
"3","@Newsweek @texyellowdogdem Wow that really is like hardly any people relative to even just the annual gun violence… https://t.co/Oa9TpRW2rq"
"4","You dumbass bitches &amp; niggas support artist who rape/assault women. That’s sad https://t.co/2wLqd3YxWH"
"5","April is Sexual Assault Awareness &amp; Prevention Month. Learn Louisiana's state laws surrounding sexual assault with… https://t.co/nko6U37NkO"
"6","@djjohnso (To be clear: there are crimes, such as sexual assault, that anyone can be guilty of. Being president sho… https://t.co/UXs0Tf1Cug"
"7","A good example of how the Left are vilified for innocuous reasons while the Right continue their assault on people… https://t.co/foCe6YaZS7"
"8","@washingtonpost In an era of Trumpism, we have already seen what’s terrible for our country.
•White Nationalism
•Do… https://t.co/zv2gnWB39p"
"9","@SuzakuR6 Bro like I’m deadass gonna get a bike, this is just assault at this point"
"10","Progressives who believe that we should choose our president the way we select winners on American Idol continue th… https://t.co/yyxqtLyDpH"
"11","@ericswalwell Neither should members of Congress! Leaking, getting rich with insider information, sexual assault/abuse, etc. #DrainTheSwamp"
"12","did ya'll hear about this?! Remy Ma Accused of Assaulting 'Love &amp; Hip Hop' Co-Star https://t.co/tw4IM0JLl3"
"13","@bridwell_larry @KellyannePolls @RealCandaceO Ah now I see the error of my ways. As long as I am in some way shape… https://t.co/r0dvAu7kTn"
"14","@_sarim_ Assault 😭😭 not really pretty lame effort to be fair 🤨"
"15","Uber driver charged in connection with sexual assault investigations: Toronto police https://t.co/DUlTo6wWUi"
"16","@BlueGhost40_ @oufenix Kenny Starr covered up sexual assault as president of Baylor.

Kenny Starr is a rapist."
"17","Prairie Center Against Sexual Assault  presents Walk A Mile In Her Shoes. Online registration:… https://t.co/EgFCjKO1B8"
"18","@BreitbartNews Those Evil looking assault rifles look very dangerous and mean! 🤔👀🤣😂🤣😂🤣😂😎🇺🇸☝️PRO2A https://t.co/cr6jtD5VZm"
"19",".@MCPS is hiring an ""expert"" from ""an external firm"" to look at the ""reporting practices and supervision of athleti… https://t.co/LlBPaPrMDv"
"20","#CrimeTracker: Woman charged with assault after East Nashville bar fight escalates https://t.co/ISScSmhEyL https://t.co/ZTfhgflDq9"
"21","@MikeBoudreaux4 @KamalaHarris If you're a responsible &amp; trained gun owner, great. No one wants your precious fuckin… https://t.co/QEWTgfjS4U"
